Date,Stock
1990-01-31,339.9718184037642
1990-02-28,330.45263511256167
1990-03-31,338.46500049937856
1990-04-30,338.1779983520508
1990-05-31,350.2500013871626
1990-06-30,360.3866664341518
1990-07-31,360.0309520903088
1990-08-31,330.7465196692425
1990-09-30,315.40684268349094
1990-10-31,307.1247850501019
1990-11-30,315.2909531366257
1990-12-31,328.74950256347654
1991-01-31,325.4854555996981
1991-02-28,362.2631578947368
1991-03-31,372.2789993286133
1991-04-30,379.6786360307173
1991-05-31,377.9922721169212
1991-06-30,378.2929992675781
1991-07-31,380.2268177379261
1991-08-31,389.4031788219105
1991-09-30,387.19850006103513
1991-10-31,386.88347990616506
1991-11-30,385.919499206543
1991-12-31,388.5104762486049
1992-01-31,416.0749969482422
1992-02-29,412.55579095137745
1992-03-31,407.3645449551669
1992-04-30,407.40714372907365
1992-05-31,414.814501953125
1992-06-30,408.2745472301136
1992-07-31,415.0513638583097
1992-08-31,417.9271429152716
1992-09-30,418.4771423339844
1992-10-31,412.5027285489169
1992-11-30,422.8439971923828
1992-12-31,435.6395457874645
1993-01-31,435.22899932861327
1993-02-28,441.70368074115953
1993-03-31,450.15521638289744
1993-04-30,443.0776207333519
1993-05-31,445.24649810791016
1993-06-30,448.0595439564098
1993-07-31,447.28618803478423
1993-08-31,454.1277285489169
1993-09-30,459.23523385184154
1993-10-31,463.8999968029204
1993-11-30,462.8904753185454
1993-12-31,465.94545676491475
1994-01-31,472.9928574335007
1994-02-28,471.5799994217722
1994-03-31,463.8078268299932
1994-04-30,447.2321070620888
1994-05-31,450.89857264927457
1994-06-30,454.825908314098
1994-07-31,451.40099945068357
1994-08-31,464.2430459727412
1994-09-30,466.9580920991443
1994-10-31,463.81380934942337
1994-11-30,461.0152398972284
1994-12-31,455.1866643996466
1995-01-31,465.25
1995-02-28,481.92473722759047
1995-03-31,493.1530469811481
1995-04-30,507.9057906301398
1995-05-31,523.8136402476918
1995-06-30,539.3540843616832
1995-07-31,557.3664978027343
1995-08-31,559.1100012737771
1995-09-30,578.765493774414
1995-10-31,582.9181823730469
1995-11-30,595.5323806036087
1995-12-31,614.5709991455078
1996-01-31,614.4200051047585
1996-02-29,649.5420043945312
1996-03-31,647.0747593470982
1996-04-30,647.1728544689361
1996-05-31,661.2304548783736
1996-06-30,668.4989929199219
1996-07-31,644.0704539905895
1996-08-31,662.6822787198154
1996-09-30,674.885498046875
1996-10-31,701.4556539784307
1996-11-30,735.6690063476562
1996-12-31,743.249040876116
1997-01-31,766.216816295277
1997-02-28,798.3842163085938
1997-03-31,792.1555023193359
1997-04-30,763.9281865900213
1997-05-31,833.0914306640625
1997-06-30,876.2861909412202
1997-07-31,925.2945445667614
1997-08-31,927.7357119605655
1997-09-30,937.0242861793155
1997-10-31,951.1595618206521
1997-11-30,938.9236899928043
1997-12-31,962.3654563210227
1998-01-31,963.3590026855469
1998-02-28,1023.7421136153372
1998-03-31,1076.8277310458097
1998-04-30,1112.1961960565477
1998-05-31,1108.4169982910157
1998-06-30,1108.389531915838
1998-07-31,1156.5772705078125
1998-08-31,1074.6204717726935
1998-09-30,1020.6400001162574
1998-10-31,1032.470009543679
1998-11-30,1144.4334838867187
1998-12-31,1190.0509033203125
1999-01-31,1248.7747353001644
1999-02-28,1246.5821147717927
1999-03-31,1281.663913892663
1999-04-30,1334.7566615513392
1999-05-31,1332.0740112304688
1999-06-30,1322.552734375
1999-07-31,1380.990001860119
1999-08-31,1327.488653009588
1999-09-30,1318.1719040643602
1999-10-31,1300.010009765625
1999-11-30,1391.0028483072917
1999-12-31,1428.6840931285512
2000-01-31,1425.5855041503905
2000-02-29,1388.8744995117188
2000-03-31,1442.212598717731
2000-04-30,1461.3552567331415
2000-05-31,1418.4795476740057
2000-06-30,1461.9590897993608
2000-07-31,1473.0024963378905
2000-08-31,1485.45825726053
2000-09-30,1468.05400390625
2000-10-31,1390.144092906605
2000-11-30,1375.0376034691221
2000-12-31,1330.9294982910155
2001-01-31,1335.6390555245537
2001-02-28,1305.7515804893092
2001-03-31,1185.850008877841
2001-04-30,1189.8369995117187
2001-05-31,1270.3686356977983
2001-06-30,1238.7104666573662
2001-07-31,1204.4495210193452
2001-08-31,1178.5039274796195
2001-09-30,1044.643994140625
2001-10-31,1076.5904381793478
2001-11-30,1129.6833321707588
2001-12-31,1144.9300109863282
2002-01-31,1140.2076241629463
2002-02-28,1100.6689388877467
2002-03-31,1153.7910034179688
2002-04-30,1112.034540349787
2002-05-31,1079.2672784978693
2002-06-30,1014.0480072021485
2002-07-31,903.5854575417259
2002-08-31,912.5522738370029
2002-09-30,867.8120056152344
2002-10-31,854.6313078507134
2002-11-30,909.9270050048829
2002-12-31,899.1785743350074
2003-01-31,895.8361903599331
2003-02-28,837.6189510947779
2003-03-31,846.6214250837054
2003-04-30,890.0257132393973
2003-05-31,935.9628528413318
2003-06-30,987.9952392578125
